epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,396.367,0.85272,0.55755,0.8758,1,0.9793,0.99466,0.67944,0.92773,0.48937,0.87188,0.0007526,0.0007526,0.0007526
65,406.81,0.8584,0.55227,0.88118,0.99817,0.97959,0.99466,0.70239,0.86718,0.48479,0.86003,0.0007328,0.0007328,0.0007328
66,408.997,0.8895,0.58677,0.87036,1,0.97836,0.99453,0.6949,0.84619,0.48373,0.85583,0.000713,0.000713,0.000713
67,419.239,0.8598,0.53878,0.87474,0.97709,0.97279,0.9934,0.70085,0.81781,0.4864,0.85162,0.0006932,0.0006932,0.0006932
68,421.276,0.85316,0.55212,0.86419,0.97676,0.96599,0.99227,0.69645,0.83233,0.48552,0.85335,0.0006734,0.0006734,0.0006734
69,429.81,0.83098,0.52468,0.86137,0.95904,0.95918,0.98073,0.69938,0.83972,0.48229,0.85252,0.0006536,0.0006536,0.0006536
70,432.81,0.81267,0.51664,0.86392,0.97904,0.95325,0.98217,0.69372,0.85931,0.4817,0.85638,0.0006338,0.0006338,0.0006338
71,441.957,0.86791,0.5379,0.87209,0.98119,0.95238,0.98217,0.69359,0.84635,0.48533,0.85662,0.000614,0.000614,0.000614
72,444.733,0.85153,0.51617,0.86029,0.9789,0.94673,0.98001,0.68364,0.82825,0.48472,0.8565,0.0005942,0.0005942,0.0005942
73,453.86,0.81448,0.52362,0.87076,0.99292,0.95404,0.98048,0.68555,0.81598,0.48064,0.85652,0.0005744,0.0005744,0.0005744
74,455.727,0.82239,0.51673,0.85143,1,0.9703,0.99447,0.69916,0.81716,0.47737,0.85478,0.0005546,0.0005546,0.0005546
75,465.484,0.85103,0.54735,0.86204,0.99476,0.98639,0.99493,0.6891,0.86733,0.47257,0.8635,0.0005348,0.0005348,0.0005348
76,467.369,0.82392,0.51466,0.85728,0.99518,0.98639,0.99486,0.69144,0.88217,0.47143,0.86251,0.000515,0.000515,0.000515
77,477.119,0.84124,0.54898,0.86168,0.97955,0.97751,0.9848,0.69888,0.82684,0.46228,0.85138,0.0004952,0.0004952,0.0004952
78,479.415,0.79424,0.51466,0.86958,0.99305,0.97223,0.9942,0.71892,0.79132,0.46191,0.84679,0.0004754,0.0004754,0.0004754
79,487.913,0.75098,0.49183,0.85433,0.98547,0.96599,0.98385,0.69983,0.82219,0.46774,0.85226,0.0004556,0.0004556,0.0004556
80,491.246,0.85971,0.51208,0.85762,0.99303,0.96948,0.99377,0.69605,0.84565,0.4687,0.85578,0.0004358,0.0004358,0.0004358
81,498.679,0.8615,0.52281,0.85293,1,0.98275,0.99461,0.69874,0.84771,0.45712,0.8551,0.000416,0.000416,0.000416
82,501.852,0.85312,0.51248,0.87166,0.98815,0.98639,0.9948,0.68133,0.87953,0.46525,0.85899,0.0003962,0.0003962,0.0003962
83,510.078,0.77673,0.49418,0.85737,0.99317,0.98968,0.99486,0.66321,0.94584,0.47535,0.86993,0.0003764,0.0003764,0.0003764
84,512.211,0.81465,0.50328,0.85949,1,0.98442,0.99493,0.66728,0.95468,0.47205,0.87302,0.0003566,0.0003566,0.0003566
85,522.605,0.84239,0.52185,0.88571,1,0.97921,0.99486,0.69532,0.89513,0.46669,0.86461,0.0003368,0.0003368,0.0003368
86,524.54,0.79541,0.52333,0.86947,1,0.97858,0.9948,0.70499,0.853,0.45526,0.85864,0.000317,0.000317,0.000317
87,534.208,0.83802,0.50131,0.87069,0.99307,0.97478,0.9946,0.70888,0.83252,0.44798,0.85453,0.0002972,0.0002972,0.0002972
88,536.767,0.82655,0.51594,0.89102,0.98088,0.9932,0.99486,0.69751,0.8697,0.45369,0.86011,0.0002774,0.0002774,0.0002774
89,546.366,0.77131,0.48708,0.85837,0.97905,0.9932,0.99486,0.68214,0.92705,0.45967,0.86955,0.0002576,0.0002576,0.0002576
90,549.592,0.82558,0.50377,0.85775,0.99917,0.9932,0.995,0.68123,0.94471,0.46281,0.87164,0.0002378,0.0002378,0.0002378
91,593.998,0.78839,0.54492,0.84502,0.99318,0.99101,0.99486,0.68746,0.89368,0.45758,0.86236,0.000218,0.000218,0.000218
92,609.178,0.76224,0.49399,0.85676,0.98453,0.98639,0.99466,0.70401,0.85343,0.45284,0.85458,0.0001982,0.0001982,0.0001982
93,619.596,0.77787,0.51019,0.83076,0.97989,0.98639,0.99466,0.72131,0.81263,0.45183,0.84777,0.0001784,0.0001784,0.0001784
94,623.337,0.77955,0.49078,0.84489,0.98622,0.97408,0.99446,0.72904,0.79592,0.45168,0.84433,0.0001586,0.0001586,0.0001586
95,626.943,0.72284,0.46519,0.82853,0.99572,0.97279,0.9944,0.72601,0.7993,0.45443,0.84433,0.0001388,0.0001388,0.0001388
96,630.186,0.73054,0.47941,0.82547,1,0.97689,0.99466,0.7126,0.81403,0.45155,0.84711,0.000119,0.000119,0.000119
97,632.735,0.77528,0.49903,0.82725,0.99469,0.97279,0.99486,0.71304,0.81294,0.44976,0.84736,9.92e-05,9.92e-05,9.92e-05
98,635.181,0.75639,0.46664,0.84193,0.99309,0.97839,0.99486,0.71441,0.81115,0.44741,0.84738,7.94e-05,7.94e-05,7.94e-05
99,637.608,0.75024,0.47678,0.8204,0.99315,0.9865,0.99486,0.7174,0.8061,0.44622,0.84717,5.96e-05,5.96e-05,5.96e-05
100,640.257,0.75332,0.46996,0.83417,0.99148,0.9932,0.99486,0.71776,0.79749,0.44328,0.84667,3.98e-05,3.98e-05,3.98e-05
